5S_rRNA
AARSD1P1
ABCB7
ABCD1
ACAA2P1
ACE2
ACOT9
ACSL4
ACTBP1
ACTG1P10
ACTR3P2
ACTRT1
ACTRT1P1
ADGRG2
ADGRG4
AFF2
AFF2-IT1
AGKP2
AGTR2
AIFM1
AKAP14
AKAP17A
AKAP17BP
AKAP4
AKIRIN1P2
AKR1B1P8
AKR7A2P2
ALAS2
ALG13
ALG13-AS1
AMD1P2
AMELX
AMER1
AMMECR1
AMMECR1-IT1
AMOT
AMZ2P3
ANAPC15P1
ANKRD11P2
ANOS1
AP1M2P1
AP1S2
AP2B1P1
APEX2
API5P1
APLN
APOO
APOOL
AR
ARAF
ARHGAP36
ARHGAP4
ARHGAP6
ARHGEF6
ARHGEF9
ARHGEF9-IT1
ARL13A
ARL5AP1
ARL5AP5
ARMCX1
ARMCX2
ARMCX3
ARMCX3-AS1
ARMCX4
ARMCX5
ARMCX5-GPRASP2
ARMCX6
ARMCX7P
ARR3
ARSD
ARSD-AS1
ARSF
ARSH
ARSL
ARX
ASB11
ASB12
ASB9
ASMT
ASMTL
ASMTL-AS1
ASS1P4
ASS1P5
ATF4P1
ATF4P2
ATG4A
ATG4AP1
ATP11C
ATP1B4
ATP2B3
ATP5MC2P4
ATP5MKP1
ATP6AP1
ATP6AP1-DT
ATP6AP2
ATP7A
ATRX
ATXN3L
ATXN7L3P1
AVPR2
AWAT1
AWAT2
B3GNT2P1
BAG1P1
BCAP31
BCLAF3
BCOR
BCORL1
BEND2
BEND7P1
BEX1
BEX2
BEX3
BEX4
BEX5
BGN
BHLHB9
BLOC1S2P1
BLOC1S6P1
BMI1P1
BMP15
BMP2KL
BMX
BRAFP1
BRCC3
BRDTP1
BRK1P1
BRS3
BRWD3
BTF3P8
BTG3P1
BTK
BUD31P2
C1GALT1C1
C3orf49P1
C4orf46P2
CA5B
CA5BP1
CACNA1F
CALM1P1
CAPN6
CAPZA1P1
CAPZA1P3
CASK
CASK-AS1
CBLL1P1
CBLL2
CBX1P1
CBX1P2
CBX1P4
CCDC120
CCDC121P1
CCDC160
CCDC22
CCNB1IP1P3
CCNB3
CCNQ
CCNYL5
CCT4P2
CD40LG
CD84P1
CD99
CD99L2
CD99P1
CDK16
CDKL5
CDR1
CDX4
CENPI
CENPVL1
CENPVL2
CENPVL3
CETN2
CFAP47
CFP
CHCHD2P1
CHIC1
CHM
CHMP1B2P
CHMP5P1
CHP1P3
CHRDL1
CHST7
CHTF8P1
CITED1
CKS1BP6
CLCN4
CLCN5
CLDN2
CLDN34
CLDN7P1
CLIC2
CLIC4P3
CLTRN
CMC4
CNEP1R1P1
CNGA2
CNKSR2
CNOT7P1
COBLP1
COL4A5
COL4A6
COPS8P1
CORO1CP1
COX6CP12
COX7B
CPSF1P2
CPXCR1
CRLF2
CROCCP1
CSAG1
CSAG2
CSAG3
CSAG4
CSF2RA
CSGALNACT2P1
CSGALNACT2P2
CSTF2
CT45A1
CT45A10
CT45A11P
CT45A2
CT45A3
CT45A5
CT45A6
CT45A7
CT45A8
CT45A9
CT47A1
CT47A10
CT47A11
CT47A12
CT47A2
CT47A3
CT47A4
CT47A5
CT47A6
CT47A7
CT47A8
CT47A9
CT47B1
CT55
CT83
CTAG1A
CTAG1B
CTAG2
CTDSPL2P1
CTDSPL2P2
CTHRC1P1
CTNNBL1P1
CTPS2
CUL4B
