NAME	MEM.SHIP	cluster	gene_id	distal	medial	proximal
GSTO2	0.690498386733873	1	NA	NA	NA	NA
XYLT1	0.412782963643976	1	NA	NA	NA	NA
C15orf61	0.245986135488659	1	NA	NA	NA	NA
PCDH7	0.23099149427556	1	NA	NA	NA	NA
DPP10	0.225649753640727	1	NA	NA	NA	NA
AMOTL2	0.215381171782861	1	NA	NA	NA	NA
STON2	0.207355189551935	1	NA	NA	NA	NA
C2orf15	0.204841425166145	1	NA	NA	NA	NA
NR3C2	0.199283291308537	1	NA	NA	NA	NA
SNX10	0.192177464927236	1	NA	NA	NA	NA
ZBTB18	0.182817490868002	1	NA	NA	NA	NA
ZNF365	0.178378282756242	1	NA	NA	NA	NA
CSAD	0.170361392548275	1	NA	NA	NA	NA
NELL1	0.167035625146953	1	NA	NA	NA	NA
TENM4	0.157800769116342	1	NA	NA	NA	NA
OPRL1	0.851304388944176	2	NA	NA	NA	NA
GABRG1	0.298725319447322	2	NA	NA	NA	NA
LHX2	0.289088842314875	2	NA	NA	NA	NA
MATK	0.258585237903694	2	NA	NA	NA	NA
PCOLCE2	0.235101343737009	2	NA	NA	NA	NA
NR2F2	0.219645993161213	2	NA	NA	NA	NA
OPCML	0.212498548691126	2	NA	NA	NA	NA
EPHA7	0.206993391644328	2	NA	NA	NA	NA
EPHA3	0.198235844191062	2	NA	NA	NA	NA
MAN2A2	0.192423632998683	2	NA	NA	NA	NA
GALT	0.187359728878401	2	NA	NA	NA	NA
FOXO3	0.17721712709373	2	NA	NA	NA	NA
SNTG1	0.784732362352315	3	NA	NA	NA	NA
FJX1	0.308336486376456	3	NA	NA	NA	NA
CDH13	0.279365488530931	3	NA	NA	NA	NA
PBX3	0.235653379670749	3	NA	NA	NA	NA
CDS1	0.221035003515096	3	NA	NA	NA	NA
PALMD	0.215713159828692	3	NA	NA	NA	NA
ROBO2	0.214334677238038	3	NA	NA	NA	NA
LRRC7	0.202830650815622	3	NA	NA	NA	NA
GRIA3	0.195144831779626	3	NA	NA	NA	NA
SPINT2	0.189534834352884	3	NA	NA	NA	NA
BCL11A	0.177996393776348	3	NA	NA	NA	NA
MCTP1	0.936589851531062	4	NA	NA	NA	NA
NCAM2	0.274058120924177	4	NA	NA	NA	NA
EDIL3	0.210600064930259	4	NA	NA	NA	NA
NEFL	0.201115097804997	4	NA	NA	NA	NA
LRRTM4	0.198431918721191	4	NA	NA	NA	NA
SORCS1	0.196633918547096	4	NA	NA	NA	NA
FAM19A1	0.195421748819182	4	NA	NA	NA	NA
TLK1	0.184452899037367	4	NA	NA	NA	NA
LMO1	0.178874688703156	4	NA	NA	NA	NA
NR4A2	0.177679000311225	4	NA	NA	NA	NA
WSCD1	0.175742433914914	4	NA	NA	NA	NA
PTPRG	0.166332056966359	4	NA	NA	NA	NA
CTNNA2	0.925030384970993	5	NA	NA	NA	NA
RIMS4	0.296272753380688	5	NA	NA	NA	NA
XK	0.29568252890839	5	NA	NA	NA	NA
NPY	0.291980919896118	5	NA	NA	NA	NA
FOXP1	0.245244080036088	5	NA	NA	NA	NA
LIX1	0.215405085587658	5	NA	NA	NA	NA
PRKCA	0.192611885415444	5	NA	NA	NA	NA
PPARGC1A	0.188563872837381	5	NA	NA	NA	NA
NR2F1	0.183803398994804	5	NA	NA	NA	NA
NTRK2	0.168799886271724	5	NA	NA	NA	NA
CADM1	0.16097160153998	5	NA	NA	NA	NA
SORCS3	0.160736546828576	5	NA	NA	NA	NA
PCDH9	0.656381589729402	6	NA	NA	NA	NA
ACVR1	0.38028256350486	6	NA	NA	NA	NA
ECHDC2	0.327058186851548	6	NA	NA	NA	NA
DYRK2	0.301003774235364	6	NA	NA	NA	NA
PLEKHH2	0.295812249073563	6	NA	NA	NA	NA
SNIP1	0.284109742861919	6	NA	NA	NA	NA
ZNF35	0.273569420455892	6	NA	NA	NA	NA
DOK5	0.271653406395374	6	NA	NA	NA	NA
NFIB	0.251949244900916	6	NA	NA	NA	NA
AUTS2	0.235299245255129	6	NA	NA	NA	NA
FUT8	0.228982927100201	6	NA	NA	NA	NA
PLSCR3	0.217160078110477	6	NA	NA	NA	NA
PLXND1	0.208447860576206	6	NA	NA	NA	NA
ZNF185	0.205824326704322	6	NA	NA	NA	NA
SNX16	0.200060424625074	6	NA	NA	NA	NA
SOX11	0.181207249194448	6	NA	NA	NA	NA
ZNF462	0.179222259669235	6	NA	NA	NA	NA
NLGN1	0.178893107556243	6	NA	NA	NA	NA
PENK	0.166926710048801	6	NA	NA	NA	NA
FGFR2	0.682754533696076	7	NA	NA	NA	NA
KIRREL3	0.458014063132691	7	NA	NA	NA	NA
CDH9	0.299069212694537	7	NA	NA	NA	NA
EPHA5	0.220035012947052	7	NA	NA	NA	NA
KCNK12	0.205863742997336	7	NA	NA	NA	NA
CNTNAP5	0.190334132547536	7	NA	NA	NA	NA
FGFR3	0.180064771007662	7	NA	NA	NA	NA
PLXNA4	0.17531381270012	7	NA	NA	NA	NA
NTNG2	0.165857931678243	7	NA	NA	NA	NA
